FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
60,0,0,16.85,36.93,37.20,35.11,36.73,36.77,35.85,33.58,33.96,46.12,1420,1420,1420,1420,1766,1766,1766,1747,57.70,30.00,-1,100,33.80,565,3.997
42,1,1,117.48,77.98,88.29,85.05,87.85,83.33,66.97,66.07,68.47,78.38,1804,1804,1804,1804,1766,1766,1766,2073,57.00,24.00,-1,100,33.80,565,3.997
42,1,1,117.48,69.99,69.05,72.09,72.50,67.86,64.71,60.92,59.30,91.95,1804,1804,1804,1804,1766,1766,1766,2073,57.00,23.00,-1,100,33.80,565,3.997
51,1,0,50.29,71.28,74.55,71.56,72.07,74.77,70.43,63.79,63.72,81.25,1420,1420,1420,1420,1670,1670,1670,1747,57.70,21.00,-1,99,33.90,687,3.936
51,1,0,50.29,74.47,85.88,74.07,80.72,77.38,69.41,65.06,69.32,70.93,1420,1420,1420,1420,1670,1670,1670,1747,57.40,36.00,-1,99,33.90,687,3.936
49,2,1,83.94,72.44,78.57,70.09,70.37,74.31,74.34,69.91,66.09,76.92,1420,1420,1420,1420,1766,1766,1766,844,56.60,38.00,-1,99,33.90,754,3.936
49,2,1,83.94,56.09,45.78,43.75,42.86,48.78,80.23,67.86,58.54,58.23,1420,1420,1420,1420,1670,1670,1670,1747,55.00,35.00,-1,99,33.90,754,3.936
54,0,0,33.60,43.44,33.93,33.98,28.28,34.55,62.16,44.74,52.63,54.87,1420,1420,1420,1420,1670,1670,1670,1747,55.00,43.00,-1,99,33.90,754,3.936
54,0,0,33.60,53.07,38.75,37.33,44.16,44.44,70.24,53.01,68.60,65.88,1420,1420,1420,1420,1670,1670,1670,1747,56.20,39.00,-1,99,33.90,754,3.936
57,1,0,50.32,58.82,64.04,60.55,58.18,64.60,54.62,51.72,47.41,68.10,1420,1420,1420,1420,1670,1670,1670,844,55.00,35.00,-1,99,33.90,672,3.936
57,1,0,50.32,35.33,30.49,26.03,27.40,25.33,40.48,34.12,32.14,65.06,1420,1420,1420,1420,1670,1670,1670,1747,53.50,39.00,-1,99,33.90,672,3.936
60,0,0,16.85,43.67,54.95,34.62,41.18,47.17,34.58,33.33,32.46,72.48,1420,1420,1420,1420,1670,1670,1670,1747,54.30,38.00,-1,99,33.90,672,3.936
60,0,0,16.85,44.62,41.67,44.71,41.98,44.44,37.08,33.71,35.96,76.67,1420,1420,1420,1420,1766,1766,1766,1747,55.40,37.00,-1,99,33.90,605,3.936
59,0,0,16.91,43.32,40.95,36.89,39.81,41.90,46.36,36.45,34.51,68.18,1420,1420,1420,1420,1670,1670,1670,1747,53.90,38.00,-1,99,33.90,605,3.936
59,0,0,16.91,42.99,35.37,37.04,40.00,40.48,53.49,50.00,41.18,45.45,1420,1420,1420,1420,1670,1670,1670,1747,53.50,38.00,-1,99,33.90,605,3.936
58,0,0,33.60,46.33,47.71,42.57,44.44,44.04,39.64,41.23,41.07,68.52,1420,1420,1420,1420,1670,1670,1670,844,54.60,37.00,-1,99,33.90,655,3.936
58,0,0,33.60,68.76,66.23,64.20,67.09,68.35,78.82,70.59,66.67,69.41,1804,1804,1804,1804,1766,1766,1766,2073,56.20,36.00,-1,99,33.90,655,3.936
58,0,0,33.61,68.71,72.97,68.87,73.58,75.00,74.77,65.18,64.35,55.75,1420,1420,1420,1420,1670,1670,1670,1747,55.40,32.00,-1,99,33.90,655,3.936
58,0,0,33.61,38.66,34.44,28.21,27.63,31.71,42.05,37.21,34.12,73.26,1420,1420,1420,1420,1670,1670,1670,1747,54.30,37.00,-1,99,33.90,740,3.936
58,0,0,33.62,53.86,45.37,47.57,44.66,49.55,53.21,49.09,52.83,84.68,1804,1804,1804,1804,1766,1766,1766,2073,56.60,42.00,-1,99,33.90,740,3.936
58,0,0,33.62,59.29,50.00,50.59,52.38,56.32,66.28,60.71,58.82,79.55,1420,1420,1420,1420,1670,1670,1670,1747,57.40,37.00,-1,99,33.90,740,3.936
53,0,0,33.65,64.02,69.09,50.00,55.34,68.18,70.80,64.22,64.55,67.26,1420,1420,1420,1420,1766,1766,1766,1401,58.10,30.00,-1,99,33.90,706,3.936
53,0,0,33.65,75.74,94.25,64.29,68.35,62.96,73.81,73.56,77.01,90.00,1420,1420,1420,1420,1766,1766,1766,1747,58.50,22.00,-1,99,33.90,706,3.936
52,1,0,50.40,54.56,46.30,48.57,49.04,48.57,52.68,48.70,54.31,86.24,1420,1420,1420,1420,1670,1670,1670,1747,57.00,20.00,-1,99,33.90,741,3.936
52,1,0,50.40,61.98,60.49,56.25,53.09,58.14,59.26,65.85,63.41,80.95,1420,1420,1420,1420,1670,1670,1670,1747,57.40,22.00,-1,99,33.90,741,3.936
50,0,0,33.63,51.01,41.44,41.35,45.79,42.99,55.75,50.43,53.04,73.91,1420,1420,1420,1420,1670,1670,1670,1747,56.60,26.00,-1,99,34.00,741,3.759
50,0,0,33.63,51.95,44.71,40.00,41.25,36.84,51.72,57.78,51.76,88.37,1804,1804,1804,1804,1766,1766,1766,2073,56.20,31.00,-1,99,34.00,741,3.759
53,0,0,33.61,48.63,40.91,37.50,36.54,43.12,59.29,48.18,48.21,73.68,1420,1420,1420,1420,1670,1670,1670,1747,55.80,29.00,-1,99,34.00,911,3.759
53,0,0,33.61,52.32,42.86,45.12,38.16,38.75,64.63,62.79,57.95,63.74,1420,1420,1420,1420,1766,1766,1766,1747,57.70,31.00,-1,99,34.00,911,3.759
52,0,0,33.74,54.40,55.08,42.45,50.45,46.49,56.78,48.72,52.94,81.36,1516,1516,1516,1516,1766,1766,1766,2073,56.60,29.00,-1,99,34.00,652,3.759
52,0,0,33.74,76.30,88.61,88.75,79.22,76.00,65.82,61.73,65.43,86.25,1804,1804,1804,1804,1766,1766,1766,2073,58.90,25.00,-1,99,34.00,652,3.759
46,1,0,67.13,82.87,88.33,90.76,90.60,87.29,75.65,69.83,71.43,85.71,1420,1420,1420,1420,1766,1766,1766,2073,60.50,31.00,-1,99,34.00,652,3.759
46,1,0,67.13,72.92,81.82,73.97,78.67,73.53,64.56,62.16,69.23,82.05,1804,1804,1804,1804,1766,1766,1766,2073,58.50,27.00,-1,99,34.00,652,3.759
50,0,0,33.80,62.89,67.77,62.71,54.78,57.39,60.66,61.48,55.20,82.26,1420,1420,1420,1420,1766,1766,1766,844,57.70,31.00,-1,99,34.00,764,3.759
